Store,Dept,Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
1,1,2/5/10,24924.5,42.31,2.572,-1,-1,-1,-1,-1
1,2,2/5/10,50605.27,42.31,2.572,-1,-1,-1,-1,-1
1,3,2/5/10,13740.12,42.31,2.572,-1,-1,-1,-1,-1
1,4,2/5/10,39954.04,42.31,2.572,-1,-1,-1,-1,-1
1,5,2/5/10,32229.38,42.31,2.572,-1,-1,-1,-1,-1
1,6,2/5/10,5749.03,42.31,2.572,-1,-1,-1,-1,-1
1,7,2/5/10,21084.08,42.31,2.572,-1,-1,-1,-1,-1
1,8,2/5/10,40129.01,42.31,2.572,-1,-1,-1,-1,-1
1,9,2/5/10,16930.99,42.31,2.572,-1,-1,-1,-1,-1
1,10,2/5/10,30721.5,42.31,2.572,-1,-1,-1,-1,-1
1,11,2/5/10,24213.18,42.31,2.572,-1,-1,-1,-1,-1
1,12,2/5/10,8449.54,42.31,2.572,-1,-1,-1,-1,-1
1,13,2/5/10,41969.29,42.31,2.572,-1,-1,-1,-1,-1
1,14,2/5/10,19466.91,42.31,2.572,-1,-1,-1,-1,-1
2,1,2/5/10,35034.06,40.19,2.572,-1,-1,-1,-1,-1
2,2,2/5/10,74661.16,40.19,2.572,-1,-1,-1,-1,-1
2,3,2/5/10,16873.2,40.19,2.572,-1,-1,-1,-1,-1
2,4,2/5/10,47681.96,40.19,2.572,-1,-1,-1,-1,-1
2,5,2/5/10,34025.45,40.19,2.572,-1,-1,-1,-1,-1
2,6,2/5/10,7472.24,40.19,2.572,-1,-1,-1,-1,-1
2,7,2/5/10,28512.95,40.19,2.572,-1,-1,-1,-1,-1
2,8,2/5/10,69634.8,40.19,2.572,-1,-1,-1,-1,-1
2,9,2/5/10,24162.08,40.19,2.572,-1,-1,-1,-1,-1
2,10,2/5/10,39602.47,40.19,2.572,-1,-1,-1,-1,-1
2,11,2/5/10,24800.3,40.19,2.572,-1,-1,-1,-1,-1
2,12,2/5/10,6906.2,40.19,2.572,-1,-1,-1,-1,-1
2,13,2/5/10,53319.96,40.19,2.572,-1,-1,-1,-1,-1
2,14,2/5/10,26425.58,40.19,2.572,-1,-1,-1,-1,-1
3,1,2/5/10,6453.58,45.71,2.572,-1,-1,-1,-1,-1
3,2,2/5/10,17566.72,45.71,2.572,-1,-1,-1,-1,-1
